datetime,wind speed2019,wind speed2018,wind speed2017,wind speed2016,wind speed2015,wind speed2014,wind speed2013,wind speed2012,wind speed2011,wind speed2010,wind speed2009,wind speed2008,wind speed2007,wind speed2006,wind speed2005,wind speed2004;;;;;;;
07/01/2019 01:00,9.89,9.734,12.83,13.93,12.17,16.33,5.117,13.94,9.14;10.45;15.24;10.91;7.625;10.664;20.66;13.09
07/01/2019 02:00,9.31,9.28,12.91,14.4,11.53,17.44,4.586,16.23,8.336;10.67;11.58;11.82;9.32;10.41;21.53;12.125
07/01/2019 03:00,9.27,9.28,13.13,14.266,11.25,17.7,4.684,15.83,7.73;10.3;11.69;12.03;9.9;10.484;21.6;12.1
07/01/2019 04:00,9.09,9.445,13.625,13.67,10.33,18.45,4.48,15.23,6.816;9.84;11.766;13.4;11.375;10.71;21.36;12.28
07/01/2019 05:00,9.0,9.44,13.63,13.72,10.266,18.52,4.03,14.93,6.418;9.53;11.87;13.766;11.64;10.805;21.33;12.24
07/01/2019 06:00,8.23,8.55,13.7,14.164,10.4,18.45,3.805,15.45,5.875;8.91;11.81;15.08;12.92;11.16;21.2;11.336
07/01/2019 07:00,8.09,8.234,13.7,14.28,10.38,18.47,4.1,15.6,4.94;8.65;11.77;15.06;13.125;11.12;21.44;10.96
07/01/2019 08:00,7.516,7.523,13.16,14.96,10.28,18.11,4.56,14.89,2.658;8.23;11.47;14.84;14.59;10.734;21.92;9.65
07/01/2019 09:00,7.453,7.58,12.83,15.164,10.36,18.1,5.06,14.63,2.113;8.08;11.445;14.305;14.65;10.625;21.9;9.25
07/01/2019 10:00,7.434,8.3,10.766,15.836,10.625,18.22,4.86,15.4,1.79;7.52;10.69;15.25;15.76;10.3;22.62;7.547
07/01/2019 11:00,7.234,8.82,10.46,15.68,11.01,18.28,5.652,16.64,3.473;7.23;10.72;15.45;15.984;10.234;22.47;7.426
07/01/2019 12:00,6.53,11.83,9.336,15.2,13.12,18.2,7.113,17.97,6.17;6.64;11.0;16.44;16.73;10.02;22.02;7.086
07/01/2019 13:00,6.566,12.33,9.3,15.41,13.01,18.0,7.598,17.53,6.742;6.367;10.96;16.86;16.86;10.08;21.97;6.926
07/01/2019 14:00,6.824,14.23,9.805,16.3,12.48,17.28,8.125,16.56,8.32;5.81;11.08;18.75;16.25;10.28;21.47;5.887
07/01/2019 15:00,6.832,14.56,10.01,16.42,12.59,17.34,8.6,16.67,10.1;5.69;11.0;19.28;16.12;10.33;21.38;5.766
07/01/2019 16:00,6.984,16.73,10.75,16.89,13.56,18.5,8.6,16.48,12.3;5.703;10.33;22.22;16.0;10.38;21.06;5.617
07/01/2019 17:00,7.043,17.14,10.72,17.06,14.01,18.42,8.57,16.73,12.63;5.914;10.25;22.31;16.02;10.445;21.08;5.902
07/01/2019 18:00,7.29,18.17,10.21,18.06,15.38,18.28,8.69,16.62,12.555;6.152;9.44;22.25;16.47;11.016;21.3;7.37
07/01/2019 19:00,7.38,18.17,10.2,18.19,15.484,18.23,9.086,16.52,12.16;6.434;9.0;22.1;16.6;11.09;21.3;7.438
07/01/2019 20:00,7.934,17.5,10.75,18.3,16.69,17.66,10.03,16.0,11.39;7.03;7.15;21.34;16.77;10.97;21.56;7.273
07/01/2019 21:00,8.05,17.38,10.96,18.12,16.88,17.56,10.42,15.51,11.26;7.22;6.586;21.0;17.02;10.93;21.81;7.31
07/01/2019 22:00,8.77,20.06,11.09,16.22,17.75,17.3,9.445,16.88,10.97;6.96;4.156;20.14;17.53;10.55;22.44;8.055
07/01/2019 23:00,8.85,19.97,10.92,15.42,17.84,17.38,9.805,17.17,11.2;6.395;3.604;19.88;17.34;10.47;22.44;8.195
08/01/2019 00:00,9.17,20.1,9.555,11.58,18.22,17.3,9.97,16.95,12.414;5.742;1.39;18.45;16.31;10.43;22.12;8.98
08/01/2019 01:00,9.22,20.67,9.09,12.234,18.55,16.97,10.45,17.3,12.47;5.703;1.157;18.2;16.25;10.4;22.02;9.14
08/01/2019 02:00,9.53,22.94,6.883,17.83,18.69,15.805,10.54,17.67,14.09;5.375;2.357;16.5;16.58;10.28;21.72;10.086
08/01/2019 03:00,9.56,23.08,6.582,17.89,18.69,15.82,10.33,17.48,14.31;5.277;2.938;16.4;16.66;10.19;21.81;10.32
08/01/2019 04:00,9.89,22.95,5.047,18.06,18.39,15.695,9.82,17.78,14.086;5.47;4.902;15.9;16.61;10.05;21.97;10.93
08/01/2019 05:00,10.04,22.78,4.83,18.22,18.23,15.34,9.92,17.58,13.234;5.902;5.21;15.68;16.92;10.09;22.23;11.2
08/01/2019 06:00,10.55,22.22,4.2,19.03,17.11,14.37,10.22,16.66,12.96;6.805;6.547;15.39;18.05;10.31;23.03;12.55
08/01/2019 07:00,10.625,21.97,4.066,19.0,16.8,14.71,10.234,15.92,14.36;7.406;6.85;15.055;18.31;10.34;23.33;13.0
08/01/2019 08:00,11.07,21.75,3.387,18.12,15.125,15.28,9.92,14.48,15.45;8.21;7.992;13.91;20.33;10.07;24.88;14.164
08/01/2019 09:00,11.14,21.97,3.367,17.83,14.8,15.33,9.55,13.82,15.02;8.57;8.37;13.78;19.12;9.91;25.47;14.266
08/01/2019 10:00,11.72,21.39,3.102,17.6,12.72,15.555,7.84,13.08,15.766;9.484;9.914;13.44;14.414;9.414;27.47;13.69
08/01/2019 11:00,11.805,21.88,2.945,17.14,12.32,15.805,7.367,13.2,16.34;9.47;10.22;13.33;13.99;9.25;27.44;13.73
